"Study_Area_Name","Ecoregion_ID","Ecoregion_Name","Overlap_Percentage"
"PON88PLR",333,"Eastern Canadian Forest-Boreal transition",100
"SAD12SCA",717,"Scandinavian and Russian taiga",100
"SAD12ILR",344,"Western Great Lakes forests",99.65
"SAD16SCA",679,"Sarmatic mixed forests",29.42
"SAD16SCA",717,"Scandinavian and Russian taiga",57.99
"SAD16SCA",780,"Scandinavian Montane Birch forest and grasslands",0.67
"SES03FAR",333,"Eastern Canadian Forest-Boreal transition",99.67
"SES03FAR",334,"Eastern Great Lakes lowland forests",0.33
"SHA22LSH",750,"Central Tibetan Plateau alpine steppe",2.33
"SHA22LSH",0,"Rock and Ice",12.04
"SHA22LSH",302,"Himalayan subtropical pine forests",0.42
"SHA22LSH",754,"Karakoram-West Tibetan Plateau alpine steppe",64.01
"SHA22LSH",760,"Northwestern Himalayan alpine shrub and meadows",19.1
"SHA22LSH",769,"Western Himalayan alpine shrub and meadows",0
"SHA22LSH",308,"Western Himalayan broadleaf forests",2.1
"SIH03LVR",679,"Sarmatic mixed forests",100
"SIH17NBF",654,"Central European mixed forests",80.89
"SIH17NBF",679,"Sarmatic mixed forests",19.11
"SIN19SRC",692,"Carpathian montane forests",79.93
"SIN19SRC",654,"Central European mixed forests",18.74
"SIN19SRC",674,"Pannonian mixed forests",1.33
"SMA05BZM",692,"Carpathian montane forests",100
"STG17SCA",679,"Sarmatic mixed forests",25.95
"STG17SCA",717,"Scandinavian and Russian taiga",73.85
"STG17TUS",644,"Appenine deciduous montane forests",7.17
"STG17TUS",795,"Italian sclerophyllous and semi-deciduous forests",92.83
"STG15PRR",350,"Central British Columbia Mountain forests",100
"TAN17YNP-P",367,"South Central Rockies forests",100
"TIA21KNN",718,"Trans-Baikal conifer forests",100
"TRY01LJC",333,"Eastern Canadian Forest-Boreal transition",100
"VAE09HNP",734,"Mongolian-Manchurian grassland",100
"VOS00PNG",648,"Cantabrian mixed forests",100
"VOS00AMR",648,"Cantabrian mixed forests",100
"WAR12LUH",654,"Central European mixed forests",96.39
"WAR12LUH",686,"Western European broadleaf forests",3.61
"WEN12NAM",765,"Southeast Tibet shrublands and meadows",100
"WEN12DOL",0,"Rock and Ice",0.28
"WEN12DOL",769,"Western Himalayan alpine shrub and meadows",99.72
"WEN19HUM",0,"Rock and Ice",3.4
"WEN19HUM",769,"Western Himalayan alpine shrub and meadows",96.6
"WEN12KCA",0,"Rock and Ice",69.94
"WEN12KCA",751,"Eastern Himalayan alpine shrub and meadows",30.06
"WEN12ZHA",765,"Southeast Tibet shrublands and meadows",100
"ZAN22RDM",376,"Mid-Canada Boreal Plains forests",99.98
"ZAN22RDM",397,"Northern Tallgrass prairie",0.02
