Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Density,Density_Err,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,,,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Period_Code,A_C_Code,A_Code,C_Code,Study_Code,Area_Code,Scat_Kill,n_Prey_Species
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 1997/8,562,0.8476621418,1.812903226,,0.4587755102,,,620,,,348440,1124,0.6865001182,2.189793866,,,,,,,,,,,,,,0,3600,0,0,,,0,15,,,0,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 1998/9,732,1.078055965,2.361290323,,0.5187810064,,,240,,,175680,566.7096774,0.294439044,0.4173119863,,,,,,,,,,,,,,12240,19680,0.6219512195,1.64516129,,,51,63,,,0.8095238095,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 1998/9,679,0.9275956284,2.190322581,,0.4812189936,,,620,,,420980,1358,0.705560956,2.396288707,,,,,,,,,,,,,,7440,19680,0.3780487805,0.6078431373,,,12,63,,,0.1904761905,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 1999/2000,490,0.6960227273,1.580645161,,0.4103852596,,,240,,,117600,379.3548387,0.2122437193,0.2694281525,,,,,,,,,,,,,,11760,13620,0.8634361233,6.322580645,,,49,52,,,0.9423076923,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 1999/2000,704,1.436734694,2.270967742,,0.5896147404,,,620,,,436480,1408,0.7877562807,3.711564626,,,,,,,,,,,,,,1860,13620,0.1365638767,0.1581632653,,,3,52,,,0.05769230769,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2000/1,691,1.07800312,2.229032258,,0.5187687688,,,240,,,165840,534.9677419,0.2944288606,0.4172915304,,,,,,,,,,,,,,17040,18280,0.932166302,13.74193548,,,71,73,,,0.9726027397,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2000/1,641,0.9276410999,2.067741935,,0.4812312312,,,620,,,397420,1282,0.7055711394,2.396406175,,,,,,,,,,,,,,1240,18280,0.06783369803,0.07276995305,,,2,73,,,0.02739726027,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2001/2,495,0.666218035,1.596774194,,0.3998384491,,,240,,,118800,383.2258065,0.2050184655,0.2578908523,,,,,,,,,,,,,,18000,27920,0.6446991404,1.814516129,,,75,91,,,0.8241758242,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2001/2,743,1.501010101,2.396774194,,0.6001615509,,,620,,,460660,1486,0.7949815345,3.877609428,,,,,,,,,,,,,,9920,27920,0.3553008596,0.5511111111,,,16,91,,,0.1758241758,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2002/3,389,0.45657277,1.25483871,,0.3134568896,,,240,,,93360,301.1612903,0.1501930502,0.1767378464,,,,,,,,,,,,,,14640,23320,0.627787307,1.686635945,,,61,75,,,0.8133333333,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2002/3,852,2.190231362,2.748387097,,0.6865431104,,,620,,,528240,1704,0.8498069498,5.658097686,,,,,,,,,,,,,,8680,23320,0.372212693,0.5928961749,,,14,75,,,0.1866666667,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2003/4,233,0.2460401267,0.7516129032,,0.1974576271,,,240,,,55920,180.3870968,0.0869592262,0.09524133937,,,,,,,,,,,,,,19680,34560,0.5694444444,1.322580645,,,82,106,,,0.7735849057,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2003/4,947,4.064377682,3.05483871,,0.8025423729,,,620,,,587140,1894,0.9130407738,10.49964235,,,,,,,,,,,,,,14880,34560,0.4305555556,0.756097561,,,24,106,,,0.2264150943,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2004/5,278,0.2766169154,0.8967741935,,0.2166796571,,,240,,,66720,215.2258065,0.09672088371,0.1070775156,,,,,,,,,,,,,,14640,35100,0.4170940171,0.715542522,,,61,94,,,0.6489361702,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2004/5,1005,3.615107914,3.241935484,,0.7833203429,,,620,,,623100,2010,0.9032791163,9.339028777,,,,,,,,,,,,,,20460,35100,0.5829059829,1.397540984,,,33,94,,,0.3510638298,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,Winter 2005/6,223,0.2693236715,0.7193548387,,0.2121788773,,,240,,,53520,172.6451613,0.09441151566,0.1042543245,,,,,,,,,,,,,,11280,34220,0.3296317943,0.491717524,,,47,84,,,0.5595238095,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,Winter 2005/6,828,3.713004484,2.670967742,,0.7878211227,,,620,,,513360,1656,0.9055884843,9.591928251,,,,,,,,,,,,,,22940,34220,0.6703682057,2.033687943,,,37,84,,,0.4404761905,,Wild,,,,,,,,,,,SWI,D,,,BER08YNP-M,YNP-M,Kill,2
,Bocci 2017,Hushey valley,4000,Sheep,,Ovis aries,2011-2012 Year-round,700,0.6363636364,0.175,,0.3889,,,34.2,,,23940,5.985,0.1027071088,0.1144633038,57,32,86,56.9,,32.7,,37.20930233,0.5925925926,38.2,,,,22.8032,104.6412,0.2179179902,0.2786382854,,,,,,,,,Livestock,,,"stay close to village. ""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,,,,,SWS,P-1-1,U,T,BOI17HSV,HSV,Scat,5
PanTheria has no distiction between wild or domestic goats.,Bocci 2017,Hushey valley,4000,Goat,,Capra hircus,2011-2012 Year-round,500,0.3846153846,0.125,,0.2778,,,46.9,,,23450,5.8625,0.1006049166,0.111858424,57,35,86,61.5,,36.8,,40.69767442,0.6862745098,23.3,,,,28.497,104.6412,0.2723305925,0.3742504354,,,,,,,,,Livestock,,,"tend to graze/browse at higher altitudes or on ridges where snow has been swept away by blowing winds, especially when snow cover is poor. Don't necessarily stay close to villages. In spring, when snow melting makes broken terrain more available, goats attend it more than in winter. ""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,,,,,SWS,P-1-1,U,T,BOI17HSV,HSV,Scat,5
and cattle/yak hybrids,Bocci 2017,Hushey valley,4000,Domestic yak,,Bos grunniens,2011-2012 Year-round,30,0.01694915254,0.0075,,0.0167,,,500,,,15000,3.75,0.06435282509,0.06877894447,57,2,86,2.9,,1.4,,2.325581395,0.02380952381,0.9,,,,8.878,104.6412,0.08484229921,0.09270784602,,,,,,,,,Livestock,,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,,,,,SWS,P-1-1,U,T,BOI17HSV,HSV,Scat,5
,Bocci 2017,Hushey valley,4000,Cattle,,Bos taurus,2011-2012 Year-round,200,0.125,0.05,,0.1111,,,613,,,122600,30.65,0.5259770904,1.109602679,57,5,86,9.5,,4.2,,5.813953488,0.06172839506,3.2,,,,26.715,104.6412,0.2553009713,0.3428243646,,,,,,,,,Livestock,,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,,,,,SWS,P-1-1,U,T,BOI17HSV,HSV,Scat,5
,Bocci 2017,Hushey valley,4000,Siberian ibex,Capra ibex sibirica,Capra sibirica,2011-2012 Year-round,370,0.2587412587,0.0925,,0.2056,,,130,,,48100,12.025,0.2063580591,0.2600140548,57,12,86,20.2,,16.9,,13.95348837,0.1621621622,17.2,,,,17.748,104.6412,0.1696081467,0.2042507354,,,,,,,,,Wild,,,"inhabit steep terrain (wolves rarely like to go in there), cliff-dwelling. Group-living, average herd size = 13, range 1-40 in winter and 1-49 in spring, December is rut season (from Kahn et al. 2014, density source).",,,,,,,,SWS,P-2-1,VP-E,T,BOI17HSV,HSV,Scat,5
Number individuals are the numbers counter from aerial surveys (they also don't have a study area size or survey area size),Boyd 1994,North Fork Flathead River Glacier National Park,not given ,Elk,Cervus elaphus,Cervus elaphus,1985-1991 Winter (Nov-Apr),369,0.2847222222,,,0.2216216216,,,240,,,88560,,0.476744186,0.9111111111,,,,,,,,,,,,,,16320,26595,0.6136491822,1.588321168,,243,68,205,,,0.3317073171,,Wild,,,Elk prefered the open areas but used more dense habitat over the years,,,,,,,,MWI,P-1-6,,KM,BOD94NFF,NFF,Scat,2
,Boyd 1994,North Fork Flathead River Glacier National Park,not given ,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1985-1991 Winter (Nov-Apr),1296,3.512195122,,,0.7783783784,,,75,,,97200,,0.523255814,1.097560976,,,,,,,,,,,,,,10275,26595,0.3863508178,0.6295955882,,243,137,205,,,0.6682926829,,Wild,,,WT deer prefered closed habitats but may be pushed out by large groups of elk,,,,,,,,MWI,P-1-6,,KM,BOD94NFF,NFF,Scat,2
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,Elk,Cervus elaphus,Cervus elaphus,1978 Winter (1 Jan-4 Apr 1978),372,1.309859155,1.388059701,,0.5670731707,,,240,,,89280,333.1343284,0.187369751,1.015884575,,,,,,,,,,,,,,1920,2370,0.8101265823,4.266666667,,14,8,14,0.5714285714,,0.5714285714,57.14285714,Wild,,,,,,,,,,,SWI,A,,AWT-G,CAN83RDM-A,RDM-A,Kill,3
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,Moose,Alces alces,Alces alces,1978 Winter (1 Jan-4 Apr 1978),164,0.3333333333,0.6119402985,,0.25,,,481,,,78884,294.3432836,0.1655519202,0.8026455026,,,,,,,,,,,,,,0,2370,0,0,,14,0,14,0,,0,0,Wild,,,,,,,,,,,SWI,A,,AWT-G,CAN83RDM-A,RDM-A,Kill,3
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,1978 Winter (1 Jan-4 Apr 1978),120,0.223880597,0.447761194,,0.1292047227,,,75,,,9000,33.58208955,0.01888807973,0.05351918365,,,,,,,,,,,,,,450,2370,0.1898734177,0.234375,,14,6,14,0.4285714286,,0.4285714286,42.85714286,Wild,,,,,,,,,,,SWI,A,,AWT-G,CAN83RDM-A,RDM-A,Kill,3
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Elk,Cervus elaphus,Cervus elaphus,1978-1979 Winters (Oct 1978- May 1979),688,2.170347003,2.372413793,,0.9692178301,,,240,,,165120,569.3793103,0.3465333028,1.230338209,61,53,59,86.8852459,,,,89.83050847,8.833333333,,,,,125.027,150.749,0.8293720025,4.8607029,1.1,,,,,,,,Wild,,,,,,,,,,,SWI,A,,PF,CAN83RDM-B,RDM-B,Scat,3
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Moose,Alces alces,Alces alces,1978-1979 Winters (Oct 1978- May 1979),272,0.3710777626,0.9379310345,,0.2706467662,,,481,,,130832,451.1448276,0.2745739164,0.7764740793,61,6,59,9.836065574,,,,10.16949153,0.1132075472,,,,,25.722,150.749,0.1706279975,0.205731562,0.13,,,,,,,,Wild,,,,,,,,,,,SWI,A,,PF,CAN83RDM-B,RDM-B,Scat,3
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,1978-1979 Winters (Oct 1978- May 1979),45,0.046875,0.1551724138,,0.06339360807,,,75,,,3375,11.63793103,0.0070830299,0.0114038763,61,0,59,0,,,,0,0,,,,,0,150.749,0,0,0,,,,,,,,Wild,,,,,,,,,,,SWI,A,,PF,CAN83RDM-B,RDM-B,Scat,3
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Elk,Cervus elaphus,Cervus elaphus,1978-1979 Winters (Oct 1978- May 1979),688,2.170347003,2.372413793,,0.9692178301,,,240,,,165120,569.3793103,0.3465333028,1.230338209,,,,,,,,,,,,,,5040,6002,0.8397200933,5.239085239,,23,21,23,0.9130434783,,0.9130434783,91.30434783,Wild,,,,,,,,,,,SWI,A,,KM,CAN83RDM-B,RDM-B,Kill,3
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Moose,Alces alces,Alces alces,1978-1979 Winters (Oct 1978- May 1979),272,0.3710777626,0.9379310345,,0.2706467662,,,481,,,130832,451.1448276,0.2745739164,0.7764740793,,,,,,,,,,,,,,962,6002,0.1602799067,0.1908730159,,23,2,23,0.08695652174,,0.08695652174,8.695652174,Wild,,,,,,,,,,,SWI,A,,KM,CAN83RDM-B,RDM-B,Kill,3
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,1978-1979 Winters (Oct 1978- May 1979),45,0.046875,0.1551724138,,0.06339360807,,,75,,,3375,11.63793103,0.0070830299,0.0114038763,,,,,,,,,,,,,,0,6002,0,0,,23,0,23,0,,0,0,Wild,,,,,,,,,,,SWI,A,,KM,CAN83RDM-B,RDM-B,Kill,3
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Susa Valley,120,Wild boar,Sus scrofa,Sus scrofa,2000-2001,120,0.05853658537,1,,0.05555555556,,,84.5,,,10140,84.5,0.01823871494,0.05651669862,194,4,189,2.1,,,,,0.02162162162,1.7,,,,4.46,248.363,0.01795758627,0.01828595794,,,,,,,,,Wild,,,present below 2000m a.s.l.,,,,,,,,SYR,UA,,T-T,CAI04SSV,SSV,Scat,3
"Cervids = Roe deer (Capreolus capreolus), and red deer (Cervus elaphus)",Capitani 2004,Susa Valley,120,Cervids,See notes,,2000-2001,1140,1.106796117,9.5,,0.5277777778,,,131.2,,,149568,1246.4,0.2690264415,3.740322097,194,145,189,74.7,,,,,3.295454545,69.7,,,,215.847,248.363,0.8690787275,6.638178128,,,,,,,,,Wild,,,Roe deer present below 2000m a.s.l.,,,,,,,,SYR,UA,,T-T,CAI04SSV,SSV,Scat,3
"Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra). But Mouflon were not actually in the study area (""present close to study area"") so bovids was changed to be just chamois",Capitani 2004,Susa Valley,120,Chamois,Rupicapra rupicapra,,2000-2001,910,14.67741935,7.5,,2.18524128,,,32.8,,,29848,246,0.05309732397,0.1868910762,194,40,189,20.6,,,,,0.2684563758,20,,,,28.056,248.363,0.1129636862,0.1273495622,,,,,,,,,Wild,,,,,,,,,,,SYR,UA,,T-T,CAI04SSV,SSV,Scat,3
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Pratomagno,110,Wild boar,Sus scrofa,Sus scrofa,1999-2001,561,0.2244,5.1,,0.1806763285,,,84.5,,,47404.5,430.95,0.09301744621,0.8348949436,355,310,384,87.3,,,,,4.189189189,80.8,,,,345.65,391.6651137,0.8825141376,7.51166242,,,,,,,,,Wild,,,Possible positive selection for juveniles,,,,,,,,MYR,UA,,T-T,CAI04PRA,PRA,Scat,3
"Cervids = Roe deer (Capreolus capreolus), and fallow deer (Dama dama). Fallow deer limited to about 1/3 of the study area. Pantheria mass is an unweighted average because ",Capitani 2004,Pratomagno,110,Cervids,See notes,,1999-2001,2497,4.427304965,23.1,,0.8183574879,,,22.69779736,,,56676.4,524.3191189,0.1131704964,1.193009045,355,73,384,20.6,,,,,0.2347266881,14.1,,,,45.30251366,391.6651137,0.1156664509,0.1307950502,,,,,,,,,Wild,,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama). Fallow deer limited to 1/3 of the area. Possible positive selection for fawns in summer",,,,,,,,MYR,UA,,T-T,CAI04PRA,PRA,Scat,3
"Mouflon were present in ""an isolated herd of a few individuals"". ",Capitani 2004,Pratomagno,110,Mouflon,Ovis ammon musimon,Ovis aries musimon,1999-2001,3,0.0009810333551,0.02727272727,,0.0009661835749,,,34.2,,,102.6,0.9327272727,0.0002013224479,0.0009857716449,355,1,384,0.3,,,,,0.002610966057,0.2,,,,0.7126,391.6651137,0.00181941147,0.001822727761,,,,,,,,,Wild,,,"Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra). Mouflon absent except for ""an isolated hear of a few individuals"".",,,,,,,,MYR,UA,,T-T,CAI04PRA,PRA,Scat,3
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Cecina Valley,25,Wild boar,Sus scrofa,Sus scrofa,2000-2001,375,0.5769230769,15,,0.3658536585,,,84.5,,,31687.5,1267.5,0.2735807241,1.52270543,118,24,119,20.3,,,,,0.2526315789,15.9,,,,26.76,93.34165455,0.2866887257,0.4019125115,,,,,,,,,Wild,,,Possible positive selection for juveniles. ,,,,,,,,SYR,UA,,T-T,CAI04CCV,CCV,Scat,3
