Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Defense,Prey_Notes,Avg_Wolf_Density,Pack_Name,n_Packs,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2000,3206.304,,,26.7192,,,22.4,,,178,,,,,,0.421,Wild,None,,0.025,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2001,1020.9084,,,8.50757,,,84.5,,,242,,,,,,0.482,Wild,Tusk,,0.04166666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2001,3383.472,,,28.1956,,,22.4,,,242,,,,,,0.476,Wild,None,,0.04166666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2002,1487.016,,,12.3918,,,84.5,,,262,,,,,,0.685,Wild,Tusk,,0.05,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2002,3547.008,,,29.5584,,,22.4,,,262,,,,,,0.263,Wild,None,,0.05,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2003,2404.896,,,20.0408,,,84.5,,,293,,,,,,0.712,Wild,Tusk,,0.04166666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2003,4119.372,,,34.3281,,,22.4,,,293,,,,,,0.261,Wild,None,,0.04166666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2004,559.1604,,,4.65967,,,84.5,,,232,,,,,,0.488,Wild,Tusk,,0.04166666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2004,3560.628,,,29.6719,,,22.4,,,232,,,,,,0.482,Wild,None,,0.04166666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2005,990.4536,,,8.25378,,,84.5,,,143,,,,,,0.461,Wild,Tusk,,0.05,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2005,3179.052,,,26.4921,,,22.4,,,143,,,,,,0.399,Wild,None,,0.05,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2007,2582.964,,,21.5247,,,84.5,,,208,,,,,,0.765,Wild,Tusk,,0.01666666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2007,3342.588,,,27.8549,,,22.4,,,208,,,,,,0.201,Wild,None,,0.01666666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2008,1901.844,,,15.8487,,,84.5,,,272,,,,,,0.696,Wild,Tusk,,0.03333333333,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2008,2892.876,,,24.1073,,,22.4,,,272,,,,,,0.229,Wild,None,,0.03333333333,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2009,490.6032,,,4.08836,,,84.5,,,176,,,,,,0.781,Wild,Tusk,,0.04166666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bassi 2020,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,2009,3192.684,,,26.6057,,,22.4,,,176,,,,,,0.208,Wild,None,,0.04166666667,,1,,,,,,,,,BAI20ADC,ADC,2,3,,,,
,Bocci 2017,Hushey valley,4000,Sheep,,Ovis aries,2011-2012 Year-round,700,,0.3889,0.175,,,34.2,,,57,32,56.9,32.7,38.2,,,Livestock,,"stay close to village. ""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,1,P-1-1,U,U,1,T,SWS,1,BOI17HSV,HSV,5,1,3,1,2,POP
PanTheria has no distiction between wild or domestic goats.,Bocci 2017,Hushey valley,4000,Goat,,Capra hircus,2011-2012 Year-round,500,,0.2778,0.125,,,46.9,,,57,35,61.5,36.8,23.3,,,Livestock,,"tend to graze/browse at higher altitudes or on ridges where snow has been swept away by blowing winds, especially when snow cover is poor. Don't necessarily stay close to villages. In spring, when snow melting makes broken terrain more available, goats attend it more than in winter. ""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,1,P-1-1,U,U,1,T,SWS,1,BOI17HSV,HSV,5,1,3,1,2,POP
and cattle/yak hybrids,Bocci 2017,Hushey valley,4000,Domestic yak,,Bos grunniens,2011-2012 Year-round,30,,0.0167,0.0075,,,500,,,57,2,2.9,1.4,0.9,,,Livestock,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,1,P-1-1,U,U,1,T,SWS,1,BOI17HSV,HSV,5,1,3,1,2,POP
,Bocci 2017,Hushey valley,4000,Cattle,,Bos taurus,2011-2012 Year-round,200,,0.1111,0.05,,,613,,,57,5,9.5,4.2,3.2,,,Livestock,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,1,P-1-1,U,U,1,T,SWS,1,BOI17HSV,HSV,5,1,3,1,2,POP
,Bocci 2017,Hushey valley,4000,Siberian ibex,Capra ibex sibirica,Capra sibirica,2011-2012 Year-round,370,,0.2056,0.0925,,,130,,,57,12,20.2,16.9,17.2,,,Wild,Refuge,"inhabit steep terrain (wolves rarely like to go in there), cliff-dwelling. Group-living, average herd size = 13, range 1-40 in winter and 1-49 in spring, December is rut season (from Kahn et al. 2014, density source).",,,,1,P-2-1,CNT,MWI,2,T,SWS,1,BOI17HSV,HSV,5,1,3,1,2,POP
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Pratomagno,110,Wild boar,Sus scrofa,Sus scrofa,Feb 1999-Mar 2000,561,,,5.1,,,84.5,,,355,310,87.3,,80.8,,,Wild,Tusk,Possible positive selection for juveniles,,,,,UA,DC + CNT,SSP,1,TRAN,SYR,1,CAI04PRA,PRA,4,5,UK,UK,UK,POP
"Cervids = Roe deer (Capreolus capreolus), and fallow deer (Dama dama). Fallow deer limited to about 1/3 of the study area. Pantheria mass is an unweighted average because ",Capitani 2004,Pratomagno,110,Cervids,See notes,Capreolus capreolus + Dama dama,Feb 1999-Mar 2000,2497,,,23.1,,,22.69779736,,,355,73,20.6,,14.1,,,Wild,Antler,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama). Fallow deer limited to 1/3 of the area. Possible positive selection for fawns in summer",,,,,UA,DC + CNT,SSP,1,TRAN,SYR,1,CAI04PRA,PRA,4,5,UK,UK,UK,POP
"Mouflon were present in ""an isolated herd of a few individuals"". ",Capitani 2004,Pratomagno,110,Mouflon,Ovis ammon musimon,Ovis aries musimon,Feb 1999-Mar 2000,3,,,0.02727272727,,,34.2,,,355,1,0.3,,0.2,,,Wild,Refuge,"Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra). Mouflon absent except for ""an isolated hear of a few individuals"".",,,,,UA,DC + CNT,SSP,1,TRAN,SYR,1,CAI04PRA,PRA,4,5,UK,UK,UK,POP
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Cecina Valley,25,Wild boar,Sus scrofa,Sus scrofa,Sept 2000-Aug 2001,375,,,15,,,84.5,,,118,24,20.3,,15.9,,,Wild,Tusk,Possible positive selection for juveniles. ,,,,,UA,HH,SWI,1,TRAN,SYR,1,CAI04CCV,CCV,4,5,UK,UK,UK,POP
Cervids = Roe deer (Capreolus capreolus) and fallow deer (Dama dama). ,Capitani 2004,Cecina Valley,25,Cervids,See notes,Capreolus capreolus + Dama dama,Sept 2000-Aug 2001,550,,,22,,,31.61818182,,,118,54,45.8,,40.5,,,Wild,Antler,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama)",,,,,UA,DC (roe deer) + CNT (fallow),SSP,1,TRAN,SYR,1,CAI04CCV,CCV,4,5,UK,UK,UK,POP
,Capitani 2004,Cecina Valley,25,Mouflon,Ovis ammon musimon,Ovis aries musimon,Sept 2000-Aug 2001,100,,,4,,,34.2,,,118,41,34.7,,33,,,Wild,Refuge,Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra),,,,,UA,CNT,SSP,1,TRAN,SYR,1,CAI04CCV,CCV,4,5,UK,UK,UK,POP
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Elk,Cervus elaphus,Cervus elaphus,1978-1979 Winters (Oct 1978- May 1979),688,,,2.372413793,,,240,,,61,53,86.8852459,,,,,Wild,Antler,,,Baldy lake,,1,A,AS + GS,SWI,1,TRCK,SWI,1,CAN83RDM-B,RDM-B,3,3,UK,UK,UK,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Moose,Alces alces,Alces alces,1978-1979 Winters (Oct 1978- May 1979),272,,,0.9379310345,,,481,,,61,6,9.836065574,,,,,Wild,Antler,,,Baldy lake,,1,A,AS,SWI,1,TRCK,SWI,1,CAN83RDM-B,RDM-B,3,3,UK,UK,UK,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,1978-1979 Winters (Oct 1978- May 1979),45,,,0.1551724138,,,75,,,61,0,0,,,,,Wild,Antler,,,Baldy lake,,1,A,GS,SWI,1,TRCK,SWI,1,CAN83RDM-B,RDM-B,3,3,UK,UK,UK,PT
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1997 (Spring-Autumn),455,,,0.3791666667,,,75,,,199,,,,23,,,Wild,Antler,flee,,,,1,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1997 (Spring-Autumn),115,,,0.09583333333,,,481,,,199,,,,15.3,,,Wild,Antler,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,1,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1997 (Spring-Autumn),1000,,,0.8333333333,,,613,,,199,,,,8,,,Livestock,,farmers reported seeing cattle chase away wolves,,,,1,G,FARM,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1998 (Spring-Autumn),432,,,0.36,,,75,,,101,,,,49.1,,,Wild,Antler,flee,,,,2,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1998 (Spring-Autumn),107,,,0.08916666667,,,481,,,101,,,,14.5,,,Wild,Antler,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,2,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1998 (Spring-Autumn),1000,,,0.8333333333,,,613,,,101,,,,8.8,,,Livestock,,farmers reported seeing cattle chase away wolves,,,,2,G,FARM,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1999 (Spring-Autumn),504,,,0.42,,,75,,,232,,,,48.7,,,Wild,Antler,flee,,,,3,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1999 (Spring-Autumn),65,,,0.05416666667,,,481,,,232,,,,12,,,Wild,Antler,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,3,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1999 (Spring-Autumn),1000,,,0.8333333333,,,613,,,232,,,,12.8,,,Livestock,,farmers reported seeing cattle chase away wolves,,,,3,G,FARM,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1997-1999 Spring-Autumn,464,,,0.3866666667,,,75,,,532,,,,39.2,,,Wild,Antler,flee,,,,,P-3-3,AS,MWI,3,T,MNW,3,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1997-1999 Spring-Autumn,96,,,0.08,,,481,,,532,,,,13.6,,,Wild,Antler,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,,,P-3-3,AS,MWI,3,T,MNW,3,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1997-1999 Spring-Autumn,1000,,,0.8333333333,,,613,,,532,,,,10.3,,,Livestock,,farmers reported seeing cattle chase away wolves,,,,,P-3-3,FARM,MWI,3,T,MNW,3,CHZ05AGZ,AGZ,3,2,UK,UK,UK,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Bharal,Pseudois nayaur,Pseudois nayaur,2012-2013,29850,,,5.97,34,Calculated for by RB,51.8,202.98,0.07382621125,57,,,1.76,4.42,,0.0409,Wild,Refuge,Cliff-dwelling. Herd,Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Himalayan tahr,Hemitragus jemlahicus,Hemitragus jemlahicus,2012-2013,4250,,,0.85,50,Calculated for by RB,67.90,42.50,0.01545774942,57,,,0,0,,0,Wild,Refuge,Cliff-dwelling,Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan argali,Ovis ammon hodgsonii,Ovis ammon hodgsonii,2012-2013,1200,,,0.24,80,Calculated for by RB,113.00,19.20,0.006983265622,57,,,2.3,8.95,,0.1257,Wild,Horn,Plains-dwelling,Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Tibetan gazelle,Procapra picticaudata,Procapra picticaudata,2012-2013,450,,,0.09,20,Calculated for by RB,23.00,1.80,0.0006546811521,57,,,6.31,11.05,,0.0862,Wild,Horn,Plains-dwelling,Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Kiang,Equus kiang,Equus kiang,2012-2013,1250,,,0.25,100,Calculated for by RB,280.00,25.00,0.009092793779,57,,,2.56,10.84,,0.1748,Wild,None,Plains-dwelling,Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Goat,Capra hircus,Capra hircus,2012-2013,81950,,,16.39,25,Calculated for by RB,46.9,409.75,0.14903089,57,,,4.15,8.53,,0.071,Livestock,Partguard,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions. semi-guarded, dispersed in pasture",Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Sheep,Ovis aries,Ovis aries,2012-2013,31800,,,6.36,30,Calculated for by RB,34.2,190.80,0.06939620212,57,,,0.53,1.23,,0.0109,Livestock,Partguard,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions. semi-guarded, less dispersed in pasture",Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Horse,Equus ferus caballus,Equus caballus,2012-2013,6200,,,1.24,110,Calculated for by RB,400.00,136.40,0.04961028286,57,,,1.2,5.26,,0.0903,Livestock,None,"Herd. Plains-dwelling. Left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.  unattended in pastures",Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Yak/Chauri,Bos spp,Bos grunniens,2012-2013,54600,,,10.92,150,Calculated for by RB,500,1638.00,0.5957598484,57,,,0.87,4.18,,0.0892,Livestock,,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions. unattented, too large",Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively. Lulu cows are a ""dwarf"" breed and according to wikipedia they are one of the smallest breeds and weigh only 68-153kg.",Chetri 2017,Central Himalayas,5000,Lulu cow,Bos taurus sp,Bos taurus,2012-2013,4150,,,0.83,100,Calculated for by RB,613,83.00,0.03018807535,57,,,1.09,4.6,,0.0742,Livestock,Partguard,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,,,,,CNT,U,1,T,SYR,1,CHI17CHM,CHM,10,7,6,2,4,POP
