Paper_ID,Study_Area,Area ,Prey_Identity ,Prey_Taxa,Prey_Taxa_Valid,Years,Num_Ind,Density,Density_Err,Avg_Mass_kg,Mass_Cat_A,BM_Avail,Prop_BM_Avail,Prop_Items_Avail,Scat_n,Num_Consumed,km2_Num_Consumed,Mean_perc_volume,Prop_Items_Consumed,Meth_BM_Consumed,BM_Consumed,Prop_BM_Consumed ,Absolute_FO,Err_Absolute_FO,Corrected_Abs_FO,Relative_FO,Livestock_Wild,Fight_Flight_Guarded,Notes,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM
Werhahn 2019,Humla,384,Yak/Cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,2015,1885.44,4.91,0.32,237.5,Large,1166.13,0.6273,0.5425414365,69,,,,0.01,,,0.173,,,,14.3,Livestock,Semi-guarded,Small herds ,0.2757851108,-0.7789056641,-0.5676621267,0.05452266432
Werhahn 2019,Humla,384,Horse/Mule,Equus ferus caballus,Equus caballus,2015,261.12,0.68,0.12,350.5,Large,238.35,0.1282,0.07513812155,69,,,,0,,,0,,,,0,Livestock,Unguarded,Small herds ,0,-1,-1,0
Werhahn 2019,Humla,384,Goat,Capra hircus,Capra hircus,2015,576,1.5,0.26,27.5,Medium,41.25,0.0222,0.1657458564,69,,,,0,,,0,,,,0,Livestock,,Larger herds,0,-1,-1,0
Werhahn 2019,Humla,384,Kiang,Equus kiang,Equus kiang,2015,433.92,1.13,0.16,325,Large,367.25,0.1976,0.1248618785,69,,,,0.017,,,0.529,,,,20,Wild,,Mass range= 250-400kg. Plains-dwelling.,2.677125506,0.6403379686,0.4560968896,0.529267207
Werhahn 2019,Humla,384,Naur,Pseudois nayaur,Pseudois nayaur,2015,318.72,0.83,0.09,55.3,Medium,45.87,0.0247,0.09171270718,69,,,,0.01,,,0.052,,,,10,Wild,,Mass range = 35-75kg. Cliff-dwelling .,2.105263158,0.3682659933,0.3559322034,0.4162101287
Werhahn 2019,Dolpa,1088,Yak/Cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,2016,10009.6,9.2,0.3,237.5,Large,2185,0.6037,0.2631578947,77,,,,0.023,,,0.662,,,,57,Livestock,Semi-guarded,Small-large herds,1.096571145,0.1249996784,0.04606146796,0.1707751724
Werhahn 2019,Dolpa,1088,Horse/Mule,Equus ferus caballus,Equus caballus,2016,2306.56,2.12,0.15,350,Large,742,0.205,0.06064073227,77,,,,0.002,,,0.101,,,,3.9,Livestock,Unguarded,Small herds ,0.4926829268,-0.3930609622,-0.339869281,0.07672827446
Werhahn 2019,Dolpa,1088,Goat,Capra hircus,Capra hircus,2016,24044.8,22.1,0.4,27.5,Medium,607.75,0.1679,0.6321510297,77,,,,0.007,,,0.022,,,,11.7,Livestock,Guarded,Larger herds,0.1310303752,-0.7993977396,-0.7682991048,0.02040609496
Werhahn 2019,Dolpa,1088,Naur,Pseudois nayaur,Pseudois nayaur,2016,1675.52,1.54,0.12,55,Medium,84.7,0.0234,0.04405034325,77,,,,0.017,,,0.11,,,,24.7,Wild,,Mass range = 35-75kg. Cliff-dwelling .,4.700854701,0.6752331348,0.6491754123,0.7320904582
Werhahn 2019,KCA,368,Yak/cow,Bos grunniens / Bos grunniens-Bos taurus,Bos grunniens,2016,3128,8.5,0.46,237.5,Large,2018.75,0.8736,0.6268436578,13,,,,0.01,,,0.63,,,,46.2,Livestock,Semi-guarded,Small-large herds,0.7211538462,-0.6046705588,-0.1620111732,0.1140042153
