Paper_ID,Study_Area,Area ,Prey_Identity ,Prey_Taxa,Prey_Taxa_Valid,Years,Num_Ind,Density,Density_Err,Avg_Mass_kg,Mass_Cat_A,BM_Avail,Prop_BM_Avail,Prop_Items_Avail,Scat_n,Num_Consumed,km2_Num_Consumed,Mean_perc_volume,Prop_Items_Consumed,Meth_BM_Consumed,BM_Consumed,Prop_BM_Consumed ,Absolute_FO,Err_Absolute_FO,Corrected_Abs_FO,Relative_FO,Livestock_Wild,Fight_Flight_Guarded,Notes,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM
Janeiro-Otero 2022,Serra do Cando,54.58,Roe deer,Capreolus capreolus,Capreolus capreolus,2017-2019,,0.07,,24,Small,1.68,0.00012455427,,,,,,,,,0,,,,,Wild,,,0,-1,-1,0
Janeiro-Otero 2022,Serra do Cando,54.58,Wild boar,Sus scrofa,Sus scrofa,2017-2019,,0.64,,67,Medium,42.88,0.003179099462,,,,,,,,,0.0774,,,,,Wild,,,24.34651729,0.9267537032,0.9210936959,0.8527218462
Janeiro-Otero 2022,Serra do Cando,54.58,Galician feral horses,Equus ferus atlanticus,Equus caballus,2017-2019,498,9.124221326,,300,Large,2737.266398,0.2029394154,,,,,,,,,0.8422,,,,,Wild,,,4.150007027,0.9089337027,0.6116510153,0.1453514526
Janeiro-Otero 2022,Serra do Cando,54.58,Goat,Capra hircus,Capra hircus,2017-2019,,0.02,,28.5,Medium,0.57,0.00004225948445,,,,,,,,,0,,,,,Livestock,,,0,-1,-1,0
Janeiro-Otero 2022,Serra do Cando,54.58,Cattle,Bos taurus,Bos taurus,2017-2019,,17,,600,Large,10200,0.7562223533,,,,,,,,,0.0416,,,,,Livestock,,,0.05501027551,-0.9724014536,-0.8957161332,0.001926701184
Janeiro-Otero 2022,Serra do Cando,54.58,Sheep,Ovis aries,Ovis aries,2017-2019,,0.2,,28.5,Medium,5.7,0.0004225948445,,,,,,,,,0,,,,,Livestock,,,0,-1,-1,0
Janeiro-Otero 2022,Serra do Cando,54.58,Pig,Sus domestica,Sus scrofa scrofa,2017-2019,,2,,250,Large,500,0.0370697232,,,,,,,,,0,,,,,Livestock,,,0,-1,-1,0
Janeiro-Otero 2022,Serra do Candán,106.83,Roe deer,Capreolus capreolus,Capreolus capreolus,2017-2019,,0.04,,24,Small,0.96,0.00002467131258,,,,,,,,,0.0341,,,,,Wild,,,1382.172103,0.9986032864,0.9985540483,0.7844678499
Janeiro-Otero 2022,Serra do Candán,106.83,Wild boar,Sus scrofa,Sus scrofa,2017-2019,,0.49,,67,Medium,32.83,0.0008437074918,,,,,,,,,0.0977,,,,,Wild,,,115.7984265,0.9845235578,0.9828764816,0.06572274355
Janeiro-Otero 2022,Serra do Candán,106.83,Goat,Capra hircus,Capra hircus,2017-2019,,0.1,,28.5,Medium,2.85,0.00007324295923,,,,,,,,,0.0154,,,,,Livestock,,,210.2591179,0.9906773863,0.990532953,0.1193350074
Janeiro-Otero 2022,Serra do Candán,106.83,Cattle,Bos taurus,Bos taurus,2017-2019,,52.8,,600,Large,31680,0.8141533152,,,,,,,,,0.7674,,,,,Livestock,,,0.9425743108,-0.1408271382,-0.02956164348,0.0005349690109
Janeiro-Otero 2022,Serra do Candán,106.83,Sheep,Ovis aries,Ovis aries,2017-2019,,0.7,,28.5,Medium,19.95,0.0005127007146,,,,,,,,,0.026,,,,,Livestock,,,50.71184662,0.9622917967,0.9613241427,0.02878209825
Janeiro-Otero 2022,Serra do Candán,106.83,Pig,Sus domestica,Sus scrofa scrofa,2017-2019,,28.7,,250,Large,7175,0.1843923623,,,,,,,,,0.376,,,,,Livestock,,,2.039130013,0.4543379724,0.3419169329,0.001157331951
Janeiro-Otero 2022,Estacas,14.05,Roe deer,Capreolus capreolus,Capreolus capreolus,2017-2019,,0.05,,24,Small,1.2,0.0002113787554,,,,,,,,,0,,,,,Wild,,,0,-1,-1,0
Janeiro-Otero 2022,Estacas,14.05,Wild boar,Sus scrofa,Sus scrofa,2017-2019,,0.64,,67,Medium,42.88,0.007553267525,,,,,,,,,0.0757,,,,,Wild,,,10.02215263,0.8299473769,0.8185472415,0.1486323714
Janeiro-Otero 2022,Estacas,14.05,Galician feral horse,Equus ferus atlanticus,Equus caballus,2017-2019,36,2.56227758,,300,Large,768.683274,0.1354027614,,,,,,,,,0.7712,,,,,Wild,,,5.695600236,0.9112008113,0.7012963843,0.08446793823
Janeiro-Otero 2022,Estacas,14.05,Goat,Capra hircus,Capra hircus,2017-2019,,0.1,,28.5,Medium,2.85,0.000502024544,,,,,,,,,0.0259,,,,,Livestock,,,51.59110309,0.9629191884,0.9619707539,0.7651158663
Janeiro-Otero 2022,Estacas,14.05,Cattle,Bos taurus,Bos taurus,2017-2019,,8,,600,Large,4800,0.8455150214,,,,,,,,,0.1017,,,,,Livestock,,,0.1202817187,-0.9594675772,-0.7852652298,0.001783824069
Janeiro-Otero 2022,Estacas,14.05,Sheep,Ovis aries,Ovis aries,2017-2019,,0.4,,28.5,Medium,11.4,0.002008098176,,,,,,,,,0,,,,,Livestock,,,0,-1,-1,0
Janeiro-Otero 2022,Estacas,14.05,Pig,Sus domestica,Sus scrofa scrofa,2017-2019,,0.2,,250,Large,50,0.00880744814,,,,,,,,,0,,,,,Livestock,,,0,-1,-1,0
