Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Timepoint,Period,Season,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,n_Kills_Tot,n_Kills_Prey,Prop_Kills,Ratio_Kills,km2_Num_Consumed,Raw_BM_Consumed_kg,Perc_BM_Edible,Orig_BM_Consumed,Orig_Prop_BM_Consumed,Orig_Rat_BM_Cons,Livestock_Wild,Fight_Flight_Guarded,Prey_Notes,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
Counts are from the non-agricultural areas only.,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1,1997 (Spring-Autumn),SNW,115,,,0.09583333333,,,481,,,199,,,,15.3,,,,,,,,,,,Wild,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1,1997 (Spring-Autumn),SNW,1000,,,0.8333333333,,,613,,,199,,,,8,,,,,,,,,,,Livestock,,farmers reported seeing cattle chase away wolves,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only.,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,2,1998 (Spring-Autumn),SNW,432,,,0.36,,,75,,,101,,,,49.1,,,,,,,,,,,Wild,,flee,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only.,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,2,1998 (Spring-Autumn),SNW,107,,,0.08916666667,,,481,,,101,,,,14.5,,,,,,,,,,,Wild,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,2,1998 (Spring-Autumn),SNW,1000,,,0.8333333333,,,613,,,101,,,,8.8,,,,,,,,,,,Livestock,,farmers reported seeing cattle chase away wolves,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only.,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,3,1999 (Spring-Autumn),SNW,504,,,0.42,,,75,,,232,,,,48.7,,,,,,,,,,,Wild,,flee,G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Counts are from the non-agricultural areas only.,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,3,1999 (Spring-Autumn),SNW,65,,,0.05416666667,,,481,,,232,,,,12,,,,,,,,,,,Wild,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",G,AS,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,3,1999 (Spring-Autumn),SNW,1000,,,0.8333333333,,,613,,,232,,,,12.8,,,,,,,,,,,Livestock,,farmers reported seeing cattle chase away wolves,G,FARM,SWI,1,T,1,CHZ05AGZ,AGZ,3,UK,UK,UK,POP
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,1,2000-2001,SYR,2100,,,17.497,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.47,178,,,,,,,,,,,,,0.559,,Wild,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,1,2000-2001,SYR,4801,,,40.009,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.53,178,,,,,,,,,,,,,0.421,,Wild,,,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK,PACK
