Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
PanTheria has no distiction between wild or domestic goats.,Bocci 2017,Hushey valley,4000,Goat,,Capra hircus,500,0.3846153846,0.125,0.2778,,,46.9,,,23450,5.8625,0.1006049166,0.111858424,57,35,86,61.5,,36.8,,40.69767442,0.6862745098,23.3,,,,28.497,104.6412,0.2723305925,0.3742504354,,Livestock,,,"tend to graze/browse at higher altitudes or on ridges where snow has been swept away by blowing winds, especially when snow cover is poor. Don't necessarily stay close to villages. In spring, when snow melting makes broken terrain more available, goats attend it more than in winter. ""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,,,1,2011-2012 Year-round,SWS,P-1-1,U,U,1,T,1,BOI17HSV,HSV,5,3,1,2
and cattle/yak hybrids,Bocci 2017,Hushey valley,4000,Domestic yak,,Bos grunniens,30,0.01694915254,0.0075,0.0167,,,500,,,15000,3.75,0.06435282509,0.06877894447,57,2,86,2.9,,1.4,,2.325581395,0.02380952381,0.9,,,,8.878,104.6412,0.08484229921,0.09270784602,,Livestock,,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,,,1,2011-2012 Year-round,SWS,P-1-1,U,U,1,T,1,BOI17HSV,HSV,5,3,1,2
,Bocci 2017,Hushey valley,4000,Cattle,,Bos taurus,200,0.125,0.05,0.1111,,,613,,,122600,30.65,0.5259770904,1.109602679,57,5,86,9.5,,4.2,,5.813953488,0.06172839506,3.2,,,,26.715,104.6412,0.2553009713,0.3428243646,,Livestock,,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,,,,1,2011-2012 Year-round,SWS,P-1-1,U,U,1,T,1,BOI17HSV,HSV,5,3,1,2
,Bocci 2017,Hushey valley,4000,Siberian ibex,Capra ibex sibirica,Capra sibirica,370,0.2587412587,0.0925,0.2056,,,130,,,48100,12.025,0.2063580591,0.2600140548,57,12,86,20.2,,16.9,,13.95348837,0.1621621622,17.2,,,,17.748,104.6412,0.1696081467,0.2042507354,,Wild,,,"inhabit steep terrain (wolves rarely like to go in there), cliff-dwelling. Group-living, average herd size = 13, range 1-40 in winter and 1-49 in spring, December is rut season (from Kahn et al. 2014, density source).",,,,,,1,2011-2012 Year-round,SWS,P-2-1,CNT,MWI,2,T,1,BOI17HSV,HSV,5,3,1,2
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Susa Valley,120,Wild boar,Sus scrofa,Sus scrofa,120,0.05853658537,1,0.05555555556,,,84.5,,,10140,84.5,0.01823871494,0.05651669862,194,4,189,2.1,,,,,0.02162162162,1.7,,,,4.46,248.363,0.01795758627,0.01828595794,,Wild,,,present below 2000m a.s.l.,,,,,,,Feb 2000- Mar 2001,SYR,UA,CNT,SSP,1,T,1,CAI04SSV,SSV,3,UK,UK,UK
"Cervids = Roe deer (Capreolus capreolus), and red deer (Cervus elaphus)",Capitani 2004,Susa Valley,120,Cervids,See notes,,1140,1.106796117,9.5,0.5277777778,,,131.2,,,149568,1246.4,0.2690264415,3.740322097,194,145,189,74.7,,,,,3.295454545,69.7,,,,215.847,248.363,0.8690787275,6.638178128,,Wild,,,Roe deer present below 2000m a.s.l.,,,,,,,Feb 2000- Mar 2001,SYR,UA,CNT,SSP,1,T,1,CAI04SSV,SSV,3,UK,UK,UK
"Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra). But Mouflon were not actually in the study area (""present close to study area"") so bovids was changed to be just chamois",Capitani 2004,Susa Valley,120,Chamois,Rupicapra rupicapra,,910,0.7222222222,7.5,3.161337209,,,32.8,,,29848,246,0.05309732397,0.1868910762,194,40,189,20.6,,,,,0.2684563758,20,,,,28.056,248.363,0.1129636862,0.1273495622,,Wild,,,,,,,,,,Feb 2000- Mar 2001,SYR,UA,CNT,SSP,1,T,1,CAI04SSV,SSV,3,UK,UK,UK
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Pratomagno,110,Wild boar,Sus scrofa,Sus scrofa,561,0.2244,5.1,0.1806763285,,,84.5,,,47404.5,430.95,0.09301744621,0.8348949436,355,310,384,87.3,,,,,4.189189189,80.8,,,,345.65,391.6651137,0.8825141376,7.51166242,,Wild,,,Possible positive selection for juveniles,,,,,,,Feb 1999-Mar 2000,SYR,UA,DC + CNT,SSP,1,T,1,CAI04PRA,PRA,3,UK,UK,UK
"Cervids = Roe deer (Capreolus capreolus), and fallow deer (Dama dama). Fallow deer limited to about 1/3 of the study area. Pantheria mass is an unweighted average because ",Capitani 2004,Pratomagno,110,Cervids,See notes,,2497,4.427304965,23.1,0.8183574879,,,22.69779736,,,56676.4,524.3191189,0.1131704964,1.193009045,355,73,384,20.6,,,,,0.2347266881,14.1,,,,45.30251366,391.6651137,0.1156664509,0.1307950502,,Wild,,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama). Fallow deer limited to 1/3 of the area. Possible positive selection for fawns in summer",,,,,,,Feb 1999-Mar 2000,SYR,UA,DC + CNT,SSP,1,T,1,CAI04PRA,PRA,3,UK,UK,UK
"Mouflon were present in ""an isolated herd of a few individuals"". ",Capitani 2004,Pratomagno,110,Mouflon,Ovis ammon musimon,Ovis aries musimon,3,0.0009810333551,0.02727272727,0.0009661835749,,,34.2,,,102.6,0.9327272727,0.0002013224479,0.0009857716449,355,1,384,0.3,,,,,0.002610966057,0.2,,,,0.7126,391.6651137,0.00181941147,0.001822727761,,Wild,,,"Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra). Mouflon absent except for ""an isolated hear of a few individuals"".",,,,,,,Feb 1999-Mar 2000,SYR,UA,DC + CNT,SSP,1,T,1,CAI04PRA,PRA,3,UK,UK,UK
