Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Density,Prop_Ind_Avail,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Pan_kg_Avail,Pan_BM_Avail,Pan_Prop_BM_Avail,Pan_Ratio_BM_Avail,Scat_n_Tot,Scat_n_Prey,n_Occ_Anal,Abs_FO,Abs_FO_CI,Rel_FO,Rel_FO_CI,Rel_FO_Anal,Ratio_Occ,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,Pan_BM_Consumed,Pan_Tot_BM_Consumed,Pan_Prop_BM_Cons,Pan_Ratio_BM_Cons,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,BM_Use,Jacobs_BM,Ivlevs_BM,Chesson_BM,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Goat,Capra hircus,Capra hircus,81950,0.6127102804,16.39,0.37993,25,Calculated for by RB,46.9,409.75,0.14903089,3843455,768.691,0.09709195639,0.1075324969,57,,,,,4.15,,,,8.53,,0.071,,,,,,,Livestock,"semi-guarded, dispersed in pasture",,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,0.4764112996,-0.3923743006,-0.3546360696,0.002730046563,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Sheep,Ovis aries,Ovis aries,31800,0.1729200653,6.36,0.14743,30,Calculated for by RB,34.2,190.80,0.06939620212,1087560,217.512,0.02747354349,0.0282496618,57,,,,,0.53,,,,1.23,,0.0109,,,,,,,Livestock,"semi-guarded, less dispersed in pasture",,"Herd. Plains-dwelling. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,0.1570691143,-0.7424943347,-0.7285052166,0.0009000751995,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Horse,Equus ferus caballus,Equus caballus,6200,0.02959427208,1.24,0.02874,110,Calculated for by RB,400.00,136.40,0.04961028286,2480000,496,0.06264885418,0.06683605654,57,,,,,1.2,,,,5.26,,0.0903,,,,,,,Livestock,unattended in pastures,,"Herd. Plains-dwelling. Left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,1.820187163,0.3107255461,0.2908272095,0.01043047407,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively.",Chetri 2017,Central Himalayas,5000,Yak/Chauri,Bos spp,Bos grunniens,54600,0.3389199255,10.92,0.25313,150,Calculated for by RB,500,1638.00,0.5957598484,27300000,5460,0.6896426287,2.22209199,57,,,,,0.87,,,,4.18,,0.0892,,,,,,,Livestock,"unattented, too large",,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,0.1497247595,-0.8753768832,-0.7395467772,0.000857988812,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
"not 100% clear on what ""relative number of prey individuals consumed (%)"" means or what ""proportions in scats (%)"" means, here they were input as Relative FO and Mean Perc Vol, respectively. Lulu cows are a ""dwarf"" breed and according to wikipedia they are one of the smallest breeds and weigh only 68-153kg.",Chetri 2017,Central Himalayas,5000,Lulu cow,Bos taurus sp,Bos taurus,4150,0.01961711179,0.83,0.01924,100,Calculated for by RB,613,83.00,0.03018807535,2543950,508.79,0.06426433573,0.06867787365,57,,,,,1.09,,,,4.6,,0.0742,,,,,,,Livestock,,,"Herd. Plains-dwelling. Milking yak cows are brought back to the corrals/pens in the afternoon or in the morning on a regular basis. Males left in pasture and checked on every 1-3 months. During summer livestock are taken to higher elevation for grazing, and in winter, they move to lower elevations due to the harsh weather conditions.",Not known,2.457924169,0.4405238017,0.4216183171,0.01408498798,,2012-2013,SYR,,CNT,U,1,GRID,1,CHI17CHM,CHM,10,6,2,4
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2100,0.4374088732,17.497,0.3042639029,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.47,177450,1478.4965,0.6226039849,1.650046865,178,,,,,,,,,,,0.559,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,2000-2001,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4801,2.286190476,40.009,0.6957360971,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.53,107542.4,896.2016,0.3773960151,0.6060433925,178,,,,,,,,,,,0.421,,,,,,,Wild,,,,,,,,,,2000-2001,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,987,0.2015108207,8.223,0.1676726072,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.3,83401.5,694.8435,0.4317972947,0.7601635872,242,,,,,,,,,,,0.482,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,2001-2002,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4898,4.962512665,40.819,0.8323273928,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.7,109715.2,914.3456,0.5682027053,1.315506316,242,,,,,,,,,,,0.476,,,,,,,Wild,,,,,,,,,,2001-2002,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,1472,0.3048881524,12.267,0.2336571429,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.39,124384,1036.5615,0.5349219858,1.150136111,262,,,,,,,,,,,0.685,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,2002-2003,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4828,3.279891304,40.233,0.7663428571,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.61,108147.2,901.2192,0.4650780142,0.8694623103,262,,,,,,,,,,,0.263,,,,,,,Wild,,,,,,,,,,2002-2003,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,3114,0.5440251572,25.949,0.352333365,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.53,263133,2192.6905,0.6723630365,2.052237758,293,,,,,,,,,,,0.712,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,2003-2004,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,5724,1.838150289,47.7,0.647666635,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.47,128217.6,1068.48,0.3276369635,0.487272976,293,,,,,,,,,,,0.261,,,,,,,Wild,,,,,,,,,,2003-2004,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,563,0.1092991652,4.69,0.09849009849,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.18,47573.5,396.305,0.2918482503,0.412311583,232,,,,,,,,,,,0.488,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,2004-2005,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,5151,9.14920071,42.929,0.9015099015,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.82,115382.4,961.6096,0.7081517497,2.425350248,232,,,,,,,,,,,0.482,,,,,,,Wild,,,,,,,,,,2004-2005,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,964,0.2296331586,8.035,0.186764911,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.32,81458,678.9575,0.4641916615,0.8662500851,143,,,,,,,,,,,0.461,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,2005-2006,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4198,4.354771784,34.987,0.813235089,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.68,94035.2,783.7088,0.5358083385,1.154401041,143,,,,,,,,,,,0.399,,,,,,,Wild,,,,,,,,,,2005-2006,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,2559,0.5706958073,21.322,0.3633110687,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.54,216235.5,1801.709,0.6827998436,2.152848023,208,,,,,,,,,,,0.765,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,2007-2008,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4484,1.752246971,37.366,0.6366889313,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.46,100441.6,836.9984,0.3172001564,0.4645009723,208,,,,,,,,,,,0.201,,,,,,,Wild,,,,,,,,,,2007-2008,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,1895,0.4835417198,15.79,0.3259164465,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.5,160127.5,1334.255,0.6458799236,1.824074791,272,,,,,,,,,,,0.696,,,,,,,Wild,,,mediterranean boar are relatively small compared to rest of Europe. Active defense behaviour. Large litter size. grouping behaviour. ,,,,,,,2008-2009,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Density error is 95% confidence interval,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,3919,2.068073879,32.658,0.6740835535,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.5,87785.6,731.5392,0.3541200764,0.5482231347,272,,,,,,,,,,,0.229,,,,,,,Wild,,,,,,,,,,2008-2009,SYR,A,DC,SSP,1,T,1,DAS12ADC,ADC,2,UK,UK,UK
Mean of all years. (consumption includes 2006-2007 but density does not because no census was done that year),Davis 2012,Alpe di Catenaia,120,Wild boar,Sus scrofa,Sus scrofa,1707,0.3592927805,14.221625,0.2642970307,43.2,"average body mass of all age classes of boar hunted in the study area (43.260.33 [SE] kg, n = 5003)",84.5,,0.4,144241.5,1201.727313,0.5817265401,1.355367855,1974,1284,2088,65.04559271,,58.9261129,,61.49425287,1.597014925,,,0.615,0.039,1431.66,1928.6928,0.7422955071,2.880413526,,Wild,,,,,,,,,,2000-2009,MYR,P-8-9,DC,MSP,8,T,9,DAS12ADC,ADC,2,UK,UK,UK
,Davis 2012,Alpe di Catenaia,120,Roe deer,Capreolus capreolus,Capreolus capreolus,4751,2.78324546,39.587625,0.7357029693,21.1,"average body mass of all age classes of boar hunted in the study area  (21.160.12 [SE] kg, n = 2355)",22.4,,0.6,106422.4,886.7628,0.4292599911,0.7378070805,1974,804,2088,40.72948328,,36.89765948,,38.50574713,0.6261682243,,,0.337,0.0361,497.0328,1928.6928,0.2577044929,0.3471723733,,Wild,,,,,,,,,,2000-2009,MYR,P-8-9,DC,MSP,8,T,9,DAS12ADC,ADC,2,UK,UK,UK
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,735,0.1389151389,1.13,0.1218985976,,,84.5,,,62107.5,95.485,0.3436925214,0.5240325553,42,23,,55.6,,,,,,,,,,25.645,28.736,0.8924345768,8.296667745,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,,,,,1,2018 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,5291,7.198639456,8.14,0.8781014024,,,22.4,,,118518.4,182.336,0.6563074786,1.908278388,42,5,,11.1,,,,,,,,,,3.091,28.736,0.1075654232,0.1205303178,,Wild,,,found in smaller groups than wild boar,0.02,,,,,1,2018 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,715,0.161036036,1.1,0.1387137453,,,84.5,,,60417.5,92.95,0.377934635,0.6074796895,25,22,,88.9,,,,,,,,,,24.53,25.1482,0.9754177237,39.6797153,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.02,,,,,1,2019 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,4440,6.20979021,6.83,0.8612862547,,,22.4,,,99456,152.992,0.622065365,1.64614557,25,1,,3.7,,,,,,,,,,0.6182,25.1482,0.02458227627,0.02520179372,,Wild,,,found in smaller groups than wild boar,0.02,,,,,1,2019 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1
,Dolapchiev 2022,Osogovo Mountain,650,Wild boar,Sus scrofa,Sus scrofa,384,0.1131741821,0.59,0.1015490534,,,84.5,,,32448,49.855,0.2989213529,0.4269293924,60,44,,73.3,,,,,,,,,,49.06,58.333,0.8410333773,5.290628707,,Wild,,,found in larger groups than deer and is much easier to detect by sound and smell. large bodied,0.06,,,,,1,2020 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1
,Dolapchiev 2022,Osogovo Mountain,650,Roe deer,Capreolus capreolus,Capreolus capreolus,3393,8.8359375,5.22,0.8984509466,,,22.4,,,76003.2,116.928,0.7010786471,2.342307692,60,15,,25,,,,,,,,,,9.273,58.333,0.1589666227,0.1890134529,,Wild,,,found in smaller groups than wild boar,0.06,,,,,1,2020 (spring-autumn),SNW,B,CAM,SNW,1,T,1,DOV22OOM,OOM,2,2,1,1
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,686,0.4298245614,9.8,0.3,,,56.2,,,38553.2,550.76,0.2754915741,0.3802461976,83,,,,,0.5,0.13,,,,,,,,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",,,,,,1,May 2016-April 2017,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,539,0.3092369478,7.7,0.24,,,22.4,,,12073.6,172.48,0.08627494135,0.09442111775,83,,,,,0.1,0.08,,,,,,,,,,,,Wild,,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",,,,,,1,May 2016-April 2017,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,1057,0.8628571429,15.1,0.46,,,84.5,,,89316.5,1275.95,0.6382334846,1.764213816,83,,,,,0.4,0.13,,,,,,,,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",,,,,,1,May 2016-April 2017,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1
,Ferretti 2019,Uccellina Hills,70,Fallow deer,Dama dama,Dama dama,672,0.4776119403,9.6,0.33,,,56.2,,,37766.4,539.52,0.3055022338,0.4398894406,251,,,,,0.5,0.07,,,,,,,,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Can reach local densities of 40-50 ind/km^2 in ecotones (abandoned olive groves which have been partly recolonized, pastures with some scrubs, meadows, and grasslands. Groups of up to tens of individuals. Females and younf individuals cannot rely on large antlers for defence. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". Culled for population control purposes",,,,,,2,May 2017-April 2018,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1
,Ferretti 2019,Uccellina Hills,70,Roe deer,Capreolus capreolus,Capreolus capreolus,532,0.3438914027,7.6,0.26,,,22.4,,,11916.8,170.24,0.09639809514,0.1066820406,251,,,,,0.06,0.03,,,,,,,,,,,,Wild,,,"Gregarious mostly in winter (group size increases with habitat openess, but usually less than 10 individuals) in other seasons generally just solitary individuals or a mother with fawns. Thus greater detectability in winter than other seasons. ""In our study area, behavioural interference has been reported between the fallow deer and the roe deer, with the latter being displaced by the former from shared feeding grounds, also through direct aggression, and being less abundant in areas with high densities of fallow deer"" Greatest roe deer densities seen in scrubwood/ecotones (dense scrubby vegetation on steep rocky ground which was avoided by fallow deer). ""Most likely, wolves detected fallow deer groups in open, lowland grounds, easier than roe deer, which mainly attended concealing habitats"". ",,,,,,2,May 2017-April 2018,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1
,Ferretti 2019,Uccellina Hills,70,Wild boar,Sus scrofa,Sus scrofa,875,0.726744186,12.5,0.41,,,84.5,,,73937.5,1056.25,0.598099671,1.488179103,251,,,,,0.44,0.07,,,,,,,,,,,,Wild,,,"Can form large social groups (which contain a larger proportion of young/juveniles in the summer). Noisy, easily detectable.  Males have large body size and longer tusks and ""active defence of piglets by mothers"" might make them more costly or dangerous than fallow deer. Culled and captured for population control",,,,,,2,May 2017-April 2018,SYR,A,PC,SSU,1,T,1,FEI19UCH,UCH,3,1,0,1
Density 95% CI reported by original density source (Valente et al 2014) = 0.68-2.21,Figueiredo 2020,Montesinho Natural Park,350,Roe deer,Capreolus capreolus,Capreolus capreolus,430.5,0.07454545455,1.23,0.06937394247,24,Estimated based on literature,22.4,29.52,,9643.2,27.552,0.01304288549,0.01321525049,85,37,64,44,,39,,,1.37037037,,,0.233,,22.8734,80.3872,0.2845403248,0.3977028122,,Wild,,,,,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-5-2,PC,SYR,1,T?,2,FIO20MNP,MNP,6,1,0,1
Density 95% CI reported by original density source (Torres et al 2015) = 3.65-9.25,Figueiredo 2020,Montesinho Natural Park,350,Red deer,Cervus elaphus,Cervus elaphus,2033.5,0.4874161074,5.81,0.3276931754,100,Estimated based on literature,240,581,,488040,1394.4,0.6600972536,1.942018005,85,23,64,27,,24,,,0.5609756098,,,0.273,,54.257,80.3872,0.6749457625,2.076409672,,Wild,,,,,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-5-2,PC,MWI,2,T?,2,FIO20MNP,MNP,6,1,0,1
,Figueiredo 2020,Montesinho Natural Park,350,Cattle,Bos taurus,Bos taurus,189,0.03141361257,0.54,0.03045685279,,,613,,,115857,331.02,0.156702089,0.1858205587,85,0,64,0,,0,,,0,,,0,,0,80.3872,0,0,,Livestock,guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-8-2,E,U,1,T?,2,FIO20MNP,MNP,6,1,0,1
PanTheria has no distiction between wild or domestic pigs.,Figueiredo 2020,Montesinho Natural Park,350,Domestic pig,Sus scrofa domesticus,Sus scrofa scrofa,3.5,0.0005643340858,0.01,0.0005640157924,,,84.5,,,295.75,0.845,0.000400015906,0.0004001759827,85,0,64,0,,0,,,0,,,0,,0,80.3872,0,0,,Livestock,,,,,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-8-2,E,U,1,T?,2,FIO20MNP,MNP,6,1,0,1
,Figueiredo 2020,Montesinho Natural Park,350,Sheep,Ovis aries,Ovis aries,3223.5,1.080985915,9.21,0.5194585448,,,34.2,,,110243.7,314.982,0.1491098344,0.1752398141,85,0,64,0,,0,,,0,,,0,,0,80.3872,0,0,,Livestock,guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area.,,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-8-2,E,U,1,T?,2,FIO20MNP,MNP,6,1,0,1
,Figueiredo 2020,Montesinho Natural Park,350,Domestic goat,Capra hircus,Capra hircus,325.5,0.05535714286,0.93,0.0524534687,28.5,Estimated based on literature,46.9,26.505,,15265.95,43.617,0.02064792162,0.02108324685,85,4,64,5,,4,,,0.06666666667,,,0.02599,,3.2568,80.3872,0.04051391266,0.04222459627,,Livestock,semi-guarded,,Sheperds and guard dogs accompany cattle and small ruminants during the day. Semi-confined farming systems dominant in area. negative selection likely due to increased livestock protection measures.,,,,,,1,Nov 2017-Aug 2018 and June-Aug 2019 ,?,E-8-2,E,U,1,T?,2,FIO20MNP,MNP,6,1,0,1
"Density recorded here for winter is pellets per transect and their standard error. Only 0.02 deer/km^2 overwinter in this region, the rest migrate to a deer yard 15km away",Forbes 1996,Algonquin Park A,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,0.01075268817,0.1,0.09893617021,75,Average of both adult sexes combined,75,,,,7.5,0.001673808249,0.00167661458,208,,,,,9.1,,,,,,0.043,,,,,,,Wild,,,,,,,,,,Winters 1987-1992,MWI,P-5-5,PC,MSP,5,T?,5,FOS96AGP-A,AGP-A,2,UK,UK,UK
71% of the 41 carcasses were scavenged animals that died of winter tick infestation. 0.5 moose/km^2 ,Forbes 1996,Algonquin Park A,,Moose,Alces alces,Alces alces,,93,9.3,0.01063829787,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,4473.3,0.9983261918,596.44,208,,,,,49.2,,,,,,0.873,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,Winters 1987-1992,MWI,P-5-5,PC + AC,MSP + MWI,5,T?,5,FOS96AGP-A,AGP-A,2,UK,UK,UK
,Forbes 1996,Algonquin Park B,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,0.125,0.9,1.148148148,75,Average of both adult sexes combined,75,,,,67.5,0.01911802192,0.01949064449,461,,,,,32.5,,,,,,0.225,,,,,,,Wild,,,,,,,,,,Winters 1987-1992,MWI,P-5-5,PC,MSP,5,T?,5,FOS96AGP-B,AGP-B,2,UK,UK,UK
0.45 moose/km^2,Forbes 1996,Algonquin Park B,,Moose,Alces alces,Alces alces,,8,7.2,0.1111111111,444.25,Average adult mass based on a ratio of 100bulls:93 cows (ratio from external source),481,,,,3463.2,0.9808819781,51.30666667,461,,,,,26.6,,,,,,0.646,,,,,,,Wild,,,"Infestation with winter lice was extremely common (carcass data suggested that most winter moose consumption was scavenging, not killing)",,,,,,,Winters 1987-1992,MWI,P-5-5,PC + AC,MSP + MWI,5,T?,5,FOS96AGP-B,AGP-B,2,UK,UK,UK
"""Deer (Odocoileus virginianus) were believed to be absent in the region until the mid-1880s, peaked to chronic overpopulation in the 1950s and early 1960s, and became locally extirpated by the mid 1970s""",Forbes 1996,Algonquin Park C,,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,,0.1728395062,1.4,0.7578947368,75,Average of both adult sexes combined,75,,,,105,0.02624278323,0.02695002695,767,,,,,27.1,,,,,,0.135,,,,,,,Wild,,,,,,,,,,Winters 1987-1992,MWI,P-5-5,PC,MSP,5,T?,5,FOS96AGP-C,AGP-C,2,UK,UK,UK
