Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Pack_Name,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Gazzola 2007,Alta Valle di Susa,523,Chamois,Rupicapra rupicapra,Rupicapra rupicapra,2000-2003,2208,,,4.222,30.2,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",32.8,,,716,,,,,,0.086,Wild,,,"frequently use ""wide-rocky and high altitude area"" and are well adapted to snowy conditions making them hard to catch for wolves",,,,P-6-6,MIX,MYR,6,,MYR,6,GAA07AVS,AVS,5,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Mouflon,Ovis orientalis musimon,,2000-2003,50,,,0.09560229446,29.5,"Adult or mean (of adults and yound) based on local hunting bag data, reduced by 10% for juvenilles and 25% for adults to account for inedible mass",34.2,,,716,,,,,,0.002,Wild,,,,,,,P-1-6,MIX,MYR,1,,MYR,6,GAA07AVS,AVS,5,6,UK,UK,UK,POP
,Gazzola 2007,Alta Valle di Susa,523,Alpine ibex,Capra ibex,,2000-2003,75,,,0.1434034417,NR,NR,69.3,,,716,,,,,,0,Wild,,,,,,,P-1-6,MIX,MYR,1,,MYR,6,GAA07AVS,AVS,5,6,UK,UK,UK,POP
,Guimarães 2022,Pol’ana PLA,425,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,1342,,,1.876,,,240,,,100,44,44,41.9,,,0.721,Wild,,,,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22PAP,PAP,6,,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,1140,,,1.591,,,22.4,,,100,27,27,25.7,,,0.069,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22PAP,PAP,6,,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,449,,,0.632,,,84.5,,,100,31,31,29.5,,,0.21,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22PAP,PAP,6,,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,3647,,,8.581,,,613,,,100,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22PAP,PAP,6,,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,8574,,,20.175,,,34.2,,,100,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22PAP,PAP,6,,2,1,1,POP
,Guimarães 2022,Pol’ana PLA,425,Goat,Capra hircus,Capra hircus,Winter 2015-2017,473,,,1.114,,,46.9,,,100,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22PAP,PAP,6,,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,498,,,1.529,,,240,,,64,34,53.125,48.6,,,0.736,Wild,,,,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22VPM,VPM,6,,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,371,,,1.139,,,22.4,,,64,9,14.0625,12.9,,,0.03,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22VPM,VPM,6,,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,145,,,0.439,,,84.5,,,64,26,40.625,37.1,,,0.233,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22VPM,VPM,6,,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,1724,,,7.664,,,613,,,64,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22VPM,VPM,6,,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,3603,,,16.015,,,34.2,,,64,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22VPM,VPM,6,,2,1,1,POP
,Guimarães 2022,Vepor Mountains,225,Goat,Capra hircus,Capra hircus,Winter 2015-2017,228,,,1.015,,,46.9,,,64,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22VPM,VPM,6,,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,1271,,,1.306,,,240,,,114,43,37.71929825,36.1,,,0.61,Wild,,,,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22MRP,MRP,7,,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,1073,,,1.113,,,22.4,,,114,17,14.9122807,14.3,,,0.037,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22MRP,MRP,7,,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,535,,,0.5499,,,84.5,,,114,57,50,47.9,,,0.335,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22MRP,MRP,7,,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,3517,,,5.862,,,613,,,114,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22MRP,MRP,7,,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,7034,,,11.724,,,34.2,,,114,2,1.754385965,1.7,,,0.018,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22MRP,MRP,7,,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Goat,Capra hircus,Capra hircus,Winter 2015-2017,511,,,0.852,,,46.9,,,114,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22MRP,MRP,7,,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Horse,,Equus caballus,Winter 2015-2017,50,,,0.08333333333,,,400,,,114,0,0,0,,,0,Livestock,,,,,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22MRP,MRP,7,,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Red deer,Cervus elaphus,Cervus elaphus,Winter 2015-2017,201,,,1.447,,,240,,,43,41,95.34883721,89.1,,,0.957,Wild,,,,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22PNP,PNP,7,,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Roe deer,Capreolus capreolus,Capreolus capreolus,Winter 2015-2017,275,,,1.984,,,22.4,,,43,1,2.325581395,2.2,,,0.004,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22PNP,PNP,7,,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Wild boar,Sus scrofa,Sus scrofa,Winter 2015-2017,102,,,0.7398,,,84.5,,,43,4,9.302325581,8.7,,,0.039,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22PNP,PNP,7,,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,European bison,Bison bonasus,Bison bonasus,Winter 2015-2017,40,,,0.32,,,673,,,43,0,0,0,,,0,Wild,,,,,,,P-3-3,CNT,MSP,3,T,MWI,3,GUS22PNP,PNP,7,,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Cattle,Bos taurus,Bos taurus,Winter 2015-2017,655,,,5.24,,,613,,,43,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22PNP,PNP,7,,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Sheep,Ovis aries,Ovis aries,Winter 2015-2017,434,,,3.472,,,34.2,,,43,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22PNP,PNP,7,,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Goat,Capra hircus,Capra hircus,Winter 2015-2017,70,,,0.557,,,46.9,,,43,0,0,0,,,0,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,,P-3-3,GSO,MYR,3,T,MWI,3,GUS22PNP,PNP,7,,2,1,1,POP
"also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Persian gazelle,Gazella subgutturosa,Gazella subgutturosa,July 2007-April 2009,2400,,,2.123893805,27.5,,26.7,58.40707965,0.1088749588,132,41,31,,,,0.27,Wild,,,,,,,P-1-2,GSO,U,1,T,MYR,2,HOI13GHA,GHA,4,,3,1,2,POP
"Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used. also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Esfahan wild sheep,Ovis orientalis,Ovis aries orientalis,July 2007-April 2009,2400,,,2.123893805,34,,34.2,72.21238938,0.1346090399,132,23,17,,,,0.159,Wild,,,,,,,P-1-2,GSO,U,1,T,MYR,2,HOI13GHA,GHA,4,,3,1,2,POP
"Capra aegragus is not in PanTheria so Capra hircus was used. also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Persian wild goat,Capra aegagrus,Capra hircus aegagrus,July 2007-April 2009,100,,,0.08849557522,36.0,,46.9,3.185840708,0.005938634114,132,12,1,,,,0.092,Wild,,,,,,,P-1-2,GSO,U,1,T,MYR,2,HOI13GHA,GHA,4,,3,1,2,POP
"also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Domestic sheep and goat,Ovis aries and Capra hircus,Capra hircus and Ovis aries,July 2007-April 2009,13000,,,11.50442478,35,,34.2,402.6548673,0.7505773672,132,60,45,,,,0.471,Livestock,Guarded,,"13000 in 30 herds. 65% sheep, the rest goat). Allowed to graze in pastures in the Wildlife Refuge for a 100-day period in winter (January–March), but are not allowed to enter the National Park. Guarded by herd dogs (""similar in size to an adult wolf"") during day. Return to corrals at night",,,,P-2-2,U,U,2,T,MYR,2,HOI13GHA,GHA,4,,3,1,2,POP
Spray pack territory is the southern third of the study area,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Elk,Cervus elaphus,Cervus elaphus,Winter 1988/89 and 1989/90,258,,,3.51818182,226.5620155,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,240,,,206,,,,,618.2,0.85,Wild,,,"High habitat overlap with wolves. herd size of 10.3. Southern half of Bow Valley is an important wintering area for elk. ""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",,Spray,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
Includes both white-tailed and mule deer,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Winter 1988/89 and 1989/90,85,,,1.15909091,59.97647059,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,79.4,,,206,,,,,75.2,0.103,Wild,,,"Includes both white-tailed and mule deer. High habitat overlap with wolves. herd size of 2.5. Mean herd size of 2.5. Southern half of Bow Valley is an important wintering area for mule deer and white tailed deer. May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",,Spray,,P-1-2,PC,SWI,1,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Moose,Alces alces,Alces alces,Winter 1988/89 and 1989/90,14,,,0.190909091,276.6428571,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,481,,,206,,,,,0,0,Wild,,,"Herd size of 2. ""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",,Spray,,P-1-2,PC,SWI,1,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Bighorn sheep,Ovis canadensis,Ovis canadensis,Winter 1988/89 and 1989/90,145,,,1.977272728,77.49655172,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,74.6,,,206,,,,,20.2,0.028,Wild,,,Low habitat overlap with wolves. Herd size of 8.3. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Mountain goat,Oreamnos americanus,Oreamnos americanus,Winter 1988/89 and 1989/90,51,,,0.6954545458,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,71.3,,,206,,,,,1.8,0.002,Wild,,,Low habitat overlap with wolves. Herd size of 5. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
Spray pack territory is the southern third of the study area,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Elk,Cervus elaphus,Cervus elaphus,Summer 1988-1990,123,,,1.677272728,177.195122,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,240,,,218,,,,,448.3,0.738,Wild,,,"""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",,Spray,,U,AS,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
Includes both white-tailed and mule deer,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Summer 1988-1990,77,,,1.05,46.97402597,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,79.4,,,218,,,,,37.6,0.062,Wild,,,"May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",,Spray,,U,U,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Moose,Alces alces,Alces alces,Summer 1988-1990,12,,,0.1636363637,288.5,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,481,,,218,,,,,49,0.081,Wild,,,"""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",,Spray,,U,U,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
the same density as winter?,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Bighorn sheep,Ovis canadensis,Ovis canadensis,Summer 1988-1990,145,,,1.977272728,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,74.6,,,218,,,,,6.5,0.011,Wild,,,Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray,,U,AS,WI,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
the same density as winter?,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Mountain goat,Oreamnos americanus,Oreamnos americanus,Summer 1988-1990,51,,,0.6954545458,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,71.3,,,218,,,,,13,0.021,Wild,,,Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray,,U,AS,WI,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
Baker pack territory is the Northern 2/3 of the study area,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Elk,Cervus elaphus,Cervus elaphus,Winter 1988/89 and 1989/90,147,,,1.002272727,225.170068,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,240,,,204,,,,,638.7,0.757,Wild,,,"High habitat overlap with wolves. herd size of 10.3. Southern half of Bow Valley is an important wintering area for elk. ""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",,Baker,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
Includes both white-tailed and mule deer,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Winter 1988/89 and 1989/90,39,,,0.2659090908,59.20512821,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,79.4,,,204,,,,,51.8,0.061,Wild,,,"Includes both white-tailed and mule deer. High habitat overlap with wolves. herd size of 2.5. Mean herd size of 2.5. Southern half of Bow Valley is an important wintering area for mule deer and white tailed deer. May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",,Baker,,P-1-2,PC,SWI,1,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Moose,Alces alces,Alces alces,Winter 1988/89 and 1989/90,8,,,0.05454545453,310.625,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,481,,,204,,,,,136.5,0.162,Wild,,,"Herd size of 2. ""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",,Baker,,P-1-2,PC,SWI,1,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Bighorn sheep,Ovis canadensis,Ovis canadensis,Winter 1988/89 and 1989/90,79,,,0.5386363635,77.50632911,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,74.6,,,204,,,,,13,0.015,Wild,,,Low habitat overlap with wolves. Herd size of 8.3. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Baker,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Mountain goat,Oreamnos americanus,Oreamnos americanus,Winter 1988/89 and 1989/90,30,,,0.2045454545,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,71.3,,,204,,,,,1.8,0.002,Wild,,,Low habitat overlap with wolves. Herd size of 5. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Baker,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,PT
Baker pack territory is the Northern 2/3 of the study area,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Elk,Cervus elaphus,Cervus elaphus,Summer 1988-1990,251,,,1.711363636,178.0438247,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,240,,,24,,,,,86.9,0.794,Wild,,,"""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",,Baker,,U,AS,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
Includes both white-tailed and mule deer,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Summer 1988-1990,85,,,0.5795454544,46.84705882,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,79.4,,,24,,,,,5,0.046,Wild,,,"May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",,Baker,,U,U,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Moose,Alces alces,Alces alces,Summer 1988-1990,15,,,0.1022727272,281.9333333,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,481,,,24,,,,,15.2,0.139,Wild,,,"""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",,Baker,,U,U,SU,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
the same density as winter?,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Bighorn sheep,Ovis canadensis,Ovis canadensis,Summer 1988-1990,79,,,0.5386363635,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,74.6,,,24,,,,,2.2,0.02,Wild,,,Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Baker,,U,AS,WI,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
the same density as winter?,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Mountain goat,Oreamnos americanus,Oreamnos americanus,Summer 1988-1990,30,,,0.2045454545,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,71.3,,,24,,,,,0,0,Wild,,,Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Baker,,U,AS,WI,U,HOME,MSU,2,HUD93BVB,BVB,,,,,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Elk,Cervus elaphus,Cervus elaphus,Winter 1988/89 and 1989/90,405,,,1.840909091,225.8660418,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,240,,,410,,,,,1256.9,0.8000636537,Wild,,,"High habitat overlap with wolves. herd size of 10.3. Southern half of Bow Valley is an important wintering area for elk. ""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",,Spray and Baker,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,POP
Includes both white-tailed and mule deer,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Winter 1988/89 and 1989/90,124,,,0.5636363636,59.5907994,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,79.4,,,410,,,,,127,0.08084022915,Wild,,,"Includes both white-tailed and mule deer. High habitat overlap with wolves. herd size of 2.5. Mean herd size of 2.5. Southern half of Bow Valley is an important wintering area for mule deer and white tailed deer. May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",,Spray and Baker,,P-1-2,PC,SWI,1,SNOW,MWI,2,HUD93BVB,BVB,,,,,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Moose,Alces alces,Alces alces,Winter 1988/89 and 1989/90,22,,,0.1,293.6339286,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,481,,,410,,,,,136.5,0.08688733291,Wild,,,"Herd size of 2. ""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",,Spray and Baker,,P-1-2,PC,SWI,1,SNOW,MWI,2,HUD93BVB,BVB,,,,,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Bighorn sheep,Ovis canadensis,Ovis canadensis,Winter 1988/89 and 1989/90,224,,,1.018181818,77.50144042,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Average of each packs,74.6,,,410,,,,,33.2,0.02113303628,Wild,,,Low habitat overlap with wolves. Herd size of 8.3. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,,Spray and Baker,,U,AS,WI,U,SNOW,MWI,2,HUD93BVB,BVB,,,,,,POP
