Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Pack_Name,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
and cattle/yak hybrids,Bocci 2017,Hushey valley,4000,Domestic yak,,Bos grunniens,2011-2012 Year-round,30,,0.0167,0.0075,,,500,,,57,2,2.9,1.4,0.9,,,Livestock,,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,1,P-1-1,U,U,1,T,SWS,1,BOI17HSV,HSV,5,,3,1,2,POP
,Bocci 2017,Hushey valley,4000,Cattle,,Bos taurus,2011-2012 Year-round,200,,0.1111,0.05,,,613,,,57,5,9.5,4.2,3.2,,,Livestock,,,"""If herders start guarding livestock in a better way"" suggests little and/or ineffective livestock guarding.",,,1,P-1-1,U,U,1,T,SWS,1,BOI17HSV,HSV,5,,3,1,2,POP
,Bocci 2017,Hushey valley,4000,Siberian ibex,Capra ibex sibirica,Capra sibirica,2011-2012 Year-round,370,,0.2056,0.0925,,,130,,,57,12,20.2,16.9,17.2,,,Wild,,,"inhabit steep terrain (wolves rarely like to go in there), cliff-dwelling. Group-living, average herd size = 13, range 1-40 in winter and 1-49 in spring, December is rut season (from Kahn et al. 2014, density source).",,,1,P-2-1,CNT,MWI,2,T,SWS,1,BOI17HSV,HSV,5,,3,1,2,POP
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Pratomagno,110,Wild boar,Sus scrofa,Sus scrofa,Feb 1999-Mar 2000,561,,,5.1,,,84.5,,,355,310,87.3,,80.8,,,Wild,,,Possible positive selection for juveniles,,,,UA,DC + CNT,SSP,1,T,SYR,1,CAI04PRA,PRA,4,,UK,UK,UK,POP
"Cervids = Roe deer (Capreolus capreolus), and fallow deer (Dama dama). Fallow deer limited to about 1/3 of the study area. Pantheria mass is an unweighted average because ",Capitani 2004,Pratomagno,110,Cervids,See notes,Capreolus capreolus + Dama dama,Feb 1999-Mar 2000,2497,,,23.1,,,22.69779736,,,355,73,20.6,,14.1,,,Wild,,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama). Fallow deer limited to 1/3 of the area. Possible positive selection for fawns in summer",,,,UA,DC + CNT,SSP,1,T,SYR,1,CAI04PRA,PRA,4,,UK,UK,UK,POP
"Mouflon were present in ""an isolated herd of a few individuals"". ",Capitani 2004,Pratomagno,110,Mouflon,Ovis ammon musimon,Ovis aries musimon,Feb 1999-Mar 2000,3,,,0.02727272727,,,34.2,,,355,1,0.3,,0.2,,,Wild,,,"Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra). Mouflon absent except for ""an isolated hear of a few individuals"".",,,,UA,DC + CNT,SSP,1,T,SYR,1,CAI04PRA,PRA,4,,UK,UK,UK,POP
PanTheria has no distiction between wild or domestic pigs.,Capitani 2004,Cecina Valley,25,Wild boar,Sus scrofa,Sus scrofa,Sept 2000-Aug 2001,375,,,15,,,84.5,,,118,24,20.3,,15.9,,,Wild,,,Possible positive selection for juveniles. ,,,,UA,HH,SWI,1,T,SYR,1,CAI04CCV,CCV,4,,UK,UK,UK,POP
Cervids = Roe deer (Capreolus capreolus) and fallow deer (Dama dama). ,Capitani 2004,Cecina Valley,25,Cervids,See notes,Capreolus capreolus + Dama dama,Sept 2000-Aug 2001,550,,,22,,,31.61818182,,,118,54,45.8,,40.5,,,Wild,,,"Cervids = Roe deer (Capreolus capreolus), red deer (Cervus elaphus), and fallow deer (Dama dama)",,,,UA,DC (roe deer) + CNT (fallow),SSP,1,T,SYR,1,CAI04CCV,CCV,4,,UK,UK,UK,POP
,Capitani 2004,Cecina Valley,25,Mouflon,Ovis ammon musimon,Ovis aries musimon,Sept 2000-Aug 2001,100,,,4,,,34.2,,,118,41,34.7,,33,,,Wild,,,Bovids = mouflon (Ovis ammon musimon) and chamois (Rupicapra rupicapra),,,,UA,CNT,SSP,1,T,SYR,1,CAI04CCV,CCV,4,,UK,UK,UK,POP
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Elk,Cervus elaphus,Cervus elaphus,1978-1979 Winters (Oct 1978- May 1979),688,,,2.372413793,,,240,,,61,53,86.8852459,,,,,Wild,,,,,Baldy lake,1,A,AS + GS,SWI,1,PF,SWI,1,CAN83RDM-B,RDM-B,3,,UK,UK,UK,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Moose,Alces alces,Alces alces,1978-1979 Winters (Oct 1978- May 1979),272,,,0.9379310345,,,481,,,61,6,9.836065574,,,,,Wild,,,,,Baldy lake,1,A,AS,SWI,1,PF,SWI,1,CAN83RDM-B,RDM-B,3,,UK,UK,UK,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,1978-1979 Winters (Oct 1978- May 1979),45,,,0.1551724138,,,75,,,61,0,0,,,,,Wild,,,,,Baldy lake,1,A,GS,SWI,1,PF,SWI,1,CAN83RDM-B,RDM-B,3,,UK,UK,UK,PT
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1997 (Spring-Autumn),455,,,0.3791666667,,,75,,,199,,,,23,,,Wild,,,flee,,,1,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1997 (Spring-Autumn),115,,,0.09583333333,,,481,,,199,,,,15.3,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,1,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
,Chavez 2005,Agassiz,1200,Cattle,Bos taurus,Bos taurus,1997 (Spring-Autumn),1000,,,0.8333333333,,,613,,,199,,,,8,,,Livestock,,,farmers reported seeing cattle chase away wolves,,,1,G,FARM,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1998 (Spring-Autumn),432,,,0.36,,,75,,,101,,,,49.1,,,Wild,,,flee,,,2,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
Counts are from the non-agricultural areas only. ,Chavez 2005,Agassiz,1200,Moose,Alces alces,Alces alces,1998 (Spring-Autumn),107,,,0.08916666667,,,481,,,101,,,,14.5,,,Wild,,,"dangerous and formidable. ""many moose in the area were debilitated with brainworm (Parelaphostrongylus tenuis) which causes behaviors such as aimless walking in circles, frequent stumbling, poor coordination or balance, and weakness or paralysis of their legs (Anderson, 1964).""",,,2,G,AS,SWI,1,T,SNW,1,CHZ05AGZ,AGZ,3,,UK,UK,UK,POP
