Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,Num_Avail_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pop_Scale
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,457,0.038,,0.4592964824,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 1998/1999,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,11928,,,11.9879397,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 1998/1999,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,502,0.031,,0.5045226131,,,620,,,,,,,,,,0,,,,Wild,,,,,,Winter 1999/2000,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,16372,,,16.45427136,,,240,,,,,,,,,,1,,,,Wild,,,,,,Winter 1999/2000,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,547,0.036,,0.5497487437,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2000/2001,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,15089,,,15.16482412,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2000/2001,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,929,0.076,,0.9336683417,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2001/2002,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,12278,,,12.33969849,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2001/2002,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,1214,0.123,,1.220100503,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2002/2003,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,9846,,,9.895477387,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2002/2003,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,1443,0.174,,1.450251256,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2003/2004,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,8275,,,8.316582915,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2003/2004,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,1642,0.186,,1.650251256,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2004/2005,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,8831,,,8.875376884,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2004/2005,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,2066,0.41,,2.07638191,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2005/2006,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,5045,,,5.070351759,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2005/2006,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,1739,0.29,,1.747738693,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2006/2007,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,5997,,,6.027135678,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2006/2007,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,2071,0.56,,2.081407035,,,620,,,,,,,,,,0,,,,Wild,,,,,,Winter 2007/2008,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,3701,,,3.71959799,,,240,,,,,,,,,,1,,,,Wild,,,,,,Winter 2007/2008,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,1437,0.255,,1.444221106,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2008/2009,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,5643,,,5.671356784,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2008/2009,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,1665,0.421,,1.673366834,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2009/2010,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,3959,,,3.978894472,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2009/2010,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,2065,0.572,,2.075376884,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2010/2011,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,3609,,,3.627135678,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2010/2011,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,2242,1.105,,2.253266332,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2011/2012,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,2029,,,2.03919598,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2011/2012,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,2652,1.673,,2.665326633,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2012/2013,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,1585,,,1.592964824,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2012/2013,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,2916,1.868,,2.930653266,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2013/2014,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,1561,,,1.568844221,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2013/2014,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Bison,Bison bison,Bison bison,2164,1.168,,2.174874372,,,620,,,,,,,,,,,,,,Wild,,,,,,Winter 2014/2015,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
,Tallian 2017,Yellowstone National Park Winter Range,995,Elk,Cervus elaphus,Cervus elaphus,1853,,,1.862311558,,,240,,,,,,,,,,,,,,Wild,,,,,,Winter 2014/2015,SWI,D,,,,,,TAN17YNP-P,YNP-P,2,POP
